#,Player,Team,Pos,DPM,ODPM,DDPM,Box,On/Off DPM,MPG,Pace,Pts per 100,Ast per 100,FG%,3P%,FT%,$ Value,Salary,Surplus Value
128,Mikal Bridges,New York Knicks,F-G,+0,+0,+0,+2,+0,32.9,98.7,21.8,5.3,50.6%,36.9%,83.7%,$23.1M,$24.7M,-$1.5M
129,Mouhamed Gueye,Atlanta Hawks,C,+0,-1,+2,+0,+1,6.8,96.7,15.8,2.9,47.2%,31.0%,68.5%,$8.4M,$2.2M,+$6.2M
130,Cason Wallace,Oklahoma City Thunder,G,+0,-1,+1,-0,+1,29.8,99.7,18.1,5.4,46.4%,37.2%,80.0%,$21.0M,$5.8M,+$15.2M
131,Landry Shamet,New York Knicks,G,+0,+1,-0,+0,+0,26.1,99.8,20.9,3.4,46.3%,39.0%,75.3%,$19.2M,$2.3M,+$16.9M
132,Brandon Williams,Dallas Mavericks,G,+0,+1,-0,+0,+0,21.5,101.3,27.5,8.0,48.1%,31.5%,80.1%,$12.3M,$2.2M,+$10.0M
133,Cameron Johnson,Denver Nuggets,F,+0,+1,-0,-0,+1,28.1,98.9,18.1,4.1,48.2%,38.6%,85.4%,$16.7M,$20.8M,-$4.2M
134,Max Strus,Cleveland Cavaliers,G,+0,+0,+0,+0,+0,19.2,100.9,20.0,6.6,43.6%,36.1%,77.4%,$13.4M,$15.8M,-$2.4M
135,Josh Hart,New York Knicks,G,+0,-0,+1,+1,+0,33.9,100.7,19.8,7.4,51.5%,34.7%,74.6%,$21.0M,$19.3M,+$1.7M
136,Darius Garland,Los Angeles Clippers,G,+0,+2,-1,+1,+0,31.2,103.5,32.4,10.6,45.4%,37.3%,86.1%,$18.8M,$39.1M,-$20.2M
137,Javonte Green,Detroit Pistons,G-F,+0,-1,+1,+1,-0,18.2,99.8,19.5,1.9,45.1%,35.2%,79.8%,$11.4M,$2.3M,+$9.1M
138,Paolo Banchero,Orlando Magic,F,+0,+1,-0,-1,+1,38.6,101.2,29.6,6.7,46.8%,32.3%,74.0%,$22.3M,$15.2M,+$7.1M
139,Nickeil Alexander-Walker,Atlanta Hawks,G,+0,+1,-0,-0,+1,36.7,98.3,26.6,5.8,44.2%,38.5%,87.3%,$20.2M,$15.0M,+$5.2M
140,Jrue Holiday,Portland Trail Blazers,G,+0,+1,-1,+1,+0,34.0,100.5,28.2,9.7,47.3%,36.8%,83.9%,$19.8M,$32.1M,-$12.3M
141,CJ McCollum,Atlanta Hawks,G,+0,+1,-0,-0,+0,32.8,96.6,29.2,6.3,45.3%,37.3%,77.2%,$18.9M,$30.4M,-$11.5M
142,Brandon Ingram,Toronto Raptors,F,+0,+1,-0,+1,+0,33.7,91.9,29.6,5.7,47.6%,37.5%,83.0%,$24.7M,$37.7M,-$13.0M
143,Jabari Smith Jr.,Houston Rockets,F,+0,-0,+0,-0,+1,31.2,96.4,22.0,2.7,45.9%,33.9%,81.0%,$22.5M,$12.2M,+$10.3M
144,Ryan Rollins,Milwaukee Bucks,G,+0,+0,-0,+1,-0,25.5,99.2,24.0,8.3,46.2%,39.0%,80.0%,$19.5M,$4.0M,+$15.5M
145,Luka Garza,Boston Celtics,C,+0,+0,+0,+1,-0,11.5,97.7,23.4,3.0,51.4%,36.1%,76.8%,$12.2M,$2.4M,+$9.7M
146,Tobias Harris,Detroit Pistons,F,+0,+0,+0,-1,+1,23.7,98.8,23.2,3.1,48.3%,36.5%,87.1%,$19.1M,$26.4M,-$7.2M
147,Josh Okogie,Houston Rockets,G,+0,-1,+1,-1,+1,16.3,97.0,14.1,2.3,42.8%,34.0%,62.6%,$9.6M,$2.3M,+$7.3M
148,Ronald Holland II,Detroit Pistons,F,+0,-1,+1,+1,-1,21.6,98.7,22.3,3.0,45.6%,31.8%,80.6%,$15.2M,$8.6M,+$6.6M
149,Anthony Black,Orlando Magic,G,+0,-1,+1,+0,+0,29.1,102.1,22.5,5.2,43.6%,32.2%,71.8%,$20.4M,$7.9M,+$12.5M
150,Myles Turner,Milwaukee Bucks,C-F,+0,-1,+1,+2,+0,18.0,99.6,21.8,2.7,47.1%,37.6%,77.2%,$16.9M,$25.1M,-$8.2M
151,Sam Merrill,Cleveland Cavaliers,G,+0,+1,-0,+1,-0,25.8,98.9,21.6,4.8,45.2%,40.0%,85.5%,$15.9M,$8.4M,+$7.5M
152,Jordan Walsh,Boston Celtics,G,+0,-1,+1,+1,-0,7.3,97.1,17.0,2.5,49.4%,34.4%,75.2%,$9.9M,$2.2M,+$7.7M
153,Jordan Goodwin,Phoenix Suns,G,+0,-0,+1,+0,+1,29.1,94.6,21.7,5.1,42.7%,35.0%,75.6%,$14.2M,$2.3M,+$11.9M
154,Jaxson Hayes,Los Angeles Lakers,C,+0,-1,+1,+0,+0,17.4,98.1,19.4,3.2,67.2%,26.8%,65.4%,$15.6M,$3.4M,+$12.1M
155,Shaedon Sharpe,Portland Trail Blazers,G,+0,+1,-1,+0,+0,29.3,102.9,34.0,5.2,46.5%,32.6%,76.0%,$17.5M,$8.3M,+$9.2M
156,Jaylin Williams,Oklahoma City Thunder,F,+0,-1,+1,+0,+0,20.8,100.5,18.8,5.7,43.3%,37.8%,79.5%,$15.0M,$8.4M,+$6.6M
157,Nah'Shon Hyland,Minnesota Timberwolves,G,+0,+0,-0,+1,-0,16.3,98.7,22.7,7.9,43.5%,36.7%,78.8%,$10.6M,$2.3M,+$8.4M
158,Dalen Terry,Philadelphia 76ers,F,+0,-1,+1,+0,-0,10.4,97.5,17.3,5.6,47.6%,34.1%,66.7%,$10.6M,$5.3M,+$5.2M
