#,Player,Team,Pos,DPM,ODPM,DDPM,Box,On/Off DPM,MPG,Pace,Pts per 100,Ast per 100,FG%,3P%,FT%,$ Value,Salary,Surplus Value
239,Tre Jones,Chicago Bulls,G,-1,+0,-1,-0,-1,24.6,100.1,22.1,8.9,51.7%,33.0%,82.6%,$14.6M,$7.9M,+$6.7M
240,Kel'el Ware,Miami Heat,C,-1,-0,-0,-0,-1,20.7,101.5,22.3,1.4,52.9%,34.2%,75.0%,$10.3M,$4.4M,+$5.9M
241,Cam Spencer,Memphis Grizzlies,G,-1,+0,-1,-1,-1,22.0,99.2,19.5,9.7,43.5%,39.8%,92.0%,$11.1M,$2.5M,+$8.6M
242,Jevon Carter,Orlando Magic,G,-1,-1,-0,-2,+0,17.1,101.1,16.5,5.2,39.4%,36.4%,79.3%,$10.0M,$6.7M,+$3.2M
243,Peyton Watson,Denver Nuggets,G,-1,-0,-0,-0,-1,17.7,95.6,24.0,3.7,47.2%,36.3%,66.7%,$10.3M,$4.3M,+$6.0M
244,Wendell Moore Jr.,Detroit Pistons,G,-1,-1,+0,-1,-0,3.9,98.7,16.5,3.7,47.2%,31.8%,78.1%,$4.6M,$1.4M,+$3.3M
245,Jordan Miller,Los Angeles Clippers,G,-1,-0,-0,-0,-2,32.7,100.3,21.2,5.6,51.8%,33.6%,81.0%,$10.1M,$1.4M,+$8.8M
246,Thomas Bryant,Cleveland Cavaliers,C,-1,-1,-0,+1,-2,15.6,101.3,24.7,3.2,47.2%,34.9%,85.0%,$3.5M,$2.3M,+$1.2M
247,Ron Harper Jr.,Boston Celtics,F,-1,-1,-0,-1,-1,6.6,98.3,19.6,3.3,43.4%,34.6%,77.2%,$4.5M,$1.4M,+$3.1M
248,Obi Toppin,Indiana Pacers,F,-1,+0,-1,+0,-1,11.6,99.3,23.6,3.9,48.5%,35.9%,77.8%,$6.5M,$13.9M,-$7.4M
249,Marvin Bagley III,Dallas Mavericks,F,-1,-1,-0,-1,-1,18.1,99.1,22.6,3.4,58.4%,33.5%,69.4%,$9.3M,$2.3M,+$7.0M
250,Adem Bona,Philadelphia 76ers,F,-1,-2,+1,-1,-1,18.2,94.4,14.8,2.1,66.5%,23.9%,68.5%,$11.3M,$1.9M,+$9.3M
251,Olivier-Maxence Prosper,Memphis Grizzlies,F,-1,-0,-1,-0,-2,23.1,97.1,20.3,2.5,44.8%,32.3%,73.6%,$12.8M,$1.4M,+$11.4M
252,DaRon Holmes II,Denver Nuggets,F,-1,-0,-0,-1,-1,2.4,97.0,21.6,3.5,46.0%,33.8%,73.6%,$5.2M,$3.2M,+$2.0M
253,Cedric Coward,Memphis Grizzlies,G,-1,-0,-1,-1,+0,27.7,100.9,22.3,4.3,42.7%,34.7%,82.9%,$8.6M,$5.7M,+$2.9M
254,Thanasis Antetokounmpo,Milwaukee Bucks,F,-1,-2,+2,+0,-3,0.3,100.7,12.4,3.4,46.7%,17.8%,56.3%,$2.7M,$2.3M,+$0.4M
255,Asa Newell,Atlanta Hawks,F,-1,-1,+0,-1,-2,4.7,98.6,20.1,2.6,49.4%,32.5%,62.3%,$5.6M,$3.2M,+$2.4M
256,Kentavious Caldwell-Pope,Memphis Grizzlies,G,-1,-1,-0,-2,-1,24.1,98.0,20.6,5.0,39.7%,35.4%,85.0%,$8.7M,$21.4M,-$12.7M
257,T.J. McConnell,Indiana Pacers,G,-1,-0,-0,+1,-1,27.4,100.0,26.3,12.7,51.0%,28.9%,80.6%,$7.9M,$10.1M,-$2.2M
258,Vit Krejci,Portland Trail Blazers,G,-1,-1,-0,-1,-1,17.6,103.4,17.6,4.0,46.0%,38.4%,75.9%,$7.5M,$2.3M,+$5.2M
259,Tim Hardaway Jr.,Denver Nuggets,G,-1,+1,-2,-0,-1,24.2,98.7,23.0,2.7,44.0%,37.2%,81.8%,$9.9M,$2.3M,+$7.7M
260,Jaylen Clark,Minnesota Timberwolves,G,-1,-2,+1,-1,+0,3.5,98.5,16.3,2.8,45.0%,34.2%,68.5%,$2.1M,$2.2M,-$0.1M
261,Danny Wolf,Brooklyn Nets,F,-1,-1,+0,-0,-2,21.4,96.0,22.6,6.0,45.0%,33.2%,77.9%,$8.1M,$2.8M,+$5.3M
262,Jonathan Kuminga,Atlanta Hawks,F,-1,-1,-0,-1,-1,18.6,98.1,25.9,5.2,50.2%,34.0%,72.0%,$14.9M,$22.3M,-$7.4M
263,Yanic Konan Niederhäuser,Los Angeles Clippers,C,-1,-2,+1,-1,-2,20.7,101.5,21.5,2.3,57.6%,27.1%,75.7%,$7.0M,$2.7M,+$4.3M
264,Dru Smith,Miami Heat,G,-1,-2,+1,-1,-2,14.5,102.6,15.3,6.7,44.9%,32.9%,81.0%,$8.9M,$2.4M,+$6.5M
265,Micah Potter,Indiana Pacers,F,-1,-0,-1,-1,-1,14.6,99.7,21.2,3.1,45.5%,38.2%,85.8%,$8.7M,$2.3M,+$6.4M
266,Jaime Jaquez Jr.,Miami Heat,G,-1,-1,-0,-1,-0,24.1,103.0,22.8,7.5,48.4%,31.0%,77.7%,$12.5M,$3.8M,+$8.7M
267,Moussa Cisse,Dallas Mavericks,C,-1,-2,+1,-1,-1,12.1,99.5,14.5,1.7,56.8%,23.8%,51.2%,$7.2M,$1.4M,+$5.8M
268,Scoot Henderson,Portland Trail Blazers,G,-1,+0,-1,-2,-0,21.9,102.7,26.5,8.7,42.9%,34.5%,79.9%,$5.4M,$10.6M,-$5.3M
269,Jared McCain,Oklahoma City Thunder,G,-1,-0,-1,-1,-0,13.4,100.5,24.2,3.8,42.4%,38.1%,86.8%,$5.3M,$4.2M,+$1.1M
270,Svi Mykhailiuk,Utah Jazz,F,-1,+0,-1,-1,-1,10.0,102.9,20.3,3.9,42.9%,36.9%,82.8%,$4.3M,$3.6M,+$0.7M
271,Quinten Post,Golden State Warriors,C,-1,-1,+0,-1,-0,26.3,100.3,24.2,4.2,43.9%,35.8%,77.7%,$6.8M,$1.9M,+$4.9M
272,Will Richard,Golden State Warriors,G,-1,-1,-0,-1,-1,20.2,102.3,16.8,3.9,46.3%,36.2%,80.4%,$9.5M,$1.4M,+$8.2M
273,Pete Nance,Milwaukee Bucks,F,-1,-1,-0,-1,+0,7.8,98.2,17.4,2.7,50.6%,34.3%,72.9%,$7.2M,$1.4M,+$5.8M
274,Rui Hachimura,Los Angeles Lakers,F,-1,-0,-0,-2,-1,23.1,100.1,20.1,2.2,50.7%,42.2%,78.0%,$8.5M,$18.1M,-$9.6M
275,Kasparas Jakučionis,Miami Heat,G,-1,-1,+0,-1,-1,20.8,104.0,16.4,5.6,43.9%,37.5%,81.6%,$11.2M,$3.6M,+$7.6M
276,Pat Spencer,Golden State Warriors,G,-1,-1,-0,-1,-1,18.2,98.7,19.5,9.3,43.2%,34.6%,77.3%,$7.3M,$1.4M,+$6.0M
277,Brook Lopez,Los Angeles Clippers,C,-1,-2,+1,-0,-1,30.2,94.5,21.9,3.4,48.3%,36.1%,84.6%,$8.6M,$8.7M,-$0.1M
278,Craig Porter,Cleveland Cavaliers,G,-1,-2,+1,-1,-1,13.1,101.5,13.3,9.4,46.6%,33.5%,63.9%,$5.6M,$2.2M,+$3.4M
279,Nikola Jovic,Miami Heat,F,-1,-1,+0,-1,-1,7.8,101.6,20.6,4.9,41.1%,32.4%,68.2%,$5.8M,$4.4M,+$1.4M
280,Buddy Hield,Atlanta Hawks,G,-1,-1,-0,+0,-1,4.7,95.1,24.4,4.6,39.1%,37.8%,77.7%,$1.9M,$9.1M,-$7.2M
281,Chris Mañon,Los Angeles Lakers,G,-1,-2,+1,-1,-2,0.0,98.2,17.4,4.2,42.2%,30.7%,72.4%,$3.8M,$1.4M,+$2.5M
282,Spencer Jones,Denver Nuggets,F,-1,-1,+0,-0,-2,17.7,96.7,13.4,2.5,47.6%,33.2%,67.2%,$3.5M,$1.4M,+$2.1M
283,Derik Queen,New Orleans Pelicans,C,-1,-1,-0,-0,-3,20.3,97.6,21.4,7.1,50.1%,32.1%,77.5%,$6.8M,$5.1M,+$1.6M
284,Quentin Grimes,Philadelphia 76ers,G,-1,-0,-1,-0,-2,21.6,95.2,22.4,5.4,48.7%,36.8%,79.5%,$10.9M,$8.7M,+$2.2M
285,Cameron Payne,Philadelphia 76ers,G,-1,-1,-0,-1,-1,12.4,96.2,22.3,8.4,42.4%,36.4%,86.3%,$5.5M,$1.4M,+$4.1M
286,Ja'Kobe Walter,Toronto Raptors,G,-1,-1,+0,-1,-2,14.2,93.4,17.5,3.0,43.4%,35.8%,81.8%,$7.1M,$3.6M,+$3.5M
287,Precious Achiuwa,Sacramento Kings,F,-1,-1,+0,-1,-1,27.2,94.7,19.2,3.0,51.8%,28.5%,61.6%,$9.5M,$2.3M,+$7.2M
288,Malik Monk,Sacramento Kings,G,-1,+0,-1,-2,-1,22.3,97.8,26.7,6.5,41.5%,36.0%,87.6%,$8.5M,$18.6M,-$10.1M
289,Dominick Barlow,Philadelphia 76ers,F,-1,-1,+0,-1,-1,24.0,93.9,17.8,2.4,57.7%,30.9%,72.4%,$7.9M,$1.4M,+$6.5M
290,Bobby Portis,Milwaukee Bucks,F,-1,-0,-1,-0,-1,22.1,98.0,27.4,3.1,48.5%,39.7%,79.0%,$5.9M,$13.3M,-$7.5M
291,Maxime Raynaud,Sacramento Kings,C,-1,-1,+0,-0,-3,28.2,97.3,19.9,2.8,55.0%,27.3%,80.2%,$4.6M,$1.4M,+$3.2M
292,Xavier Tillman,Charlotte Hornets,F,-1,-2,+1,-0,-1,0.0,100.1,11.9,3.3,42.0%,28.4%,61.7%,$1.1M,$2.5M,-$1.4M
293,Joan Beringer,Minnesota Timberwolves,F,-1,-1,+0,-1,-1,14.6,99.7,20.1,2.6,57.9%,23.6%,65.9%,$2.7M,$4.2M,-$1.5M
294,Royce O'Neale,Phoenix Suns,F,-1,-1,+0,-0,-1,24.8,94.9,17.3,4.3,42.5%,39.0%,72.7%,$6.8M,$10.0M,-$3.2M
295,Jock Landale,Atlanta Hawks,C,-1,-0,-1,-1,-2,15.4,95.1,23.2,3.7,50.8%,34.3%,63.7%,$5.7M,$10.2M,-$4.5M
296,Maxi Kleber,Los Angeles Lakers,F,-1,-3,+1,-2,-1,2.4,98.3,9.9,3.0,44.0%,30.7%,67.9%,$4.1M,$10.9M,-$6.7M
297,De'Andre Hunter,Sacramento Kings,F,-1,-0,-1,-2,-1,12.6,97.8,23.2,3.3,41.2%,35.9%,82.0%,$6.0M,$23.1M,-$17.0M
298,Egor Dëmin,Brooklyn Nets,G,-1,-1,-0,-1,-2,21.8,96.6,19.9,6.0,42.5%,36.9%,79.9%,$7.3M,$6.8M,+$0.5M
299,Jae'Sean Tate,Houston Rockets,F,-1,-2,+1,-0,-2,14.2,97.9,17.2,3.3,46.5%,29.7%,67.1%,$4.1M,$2.3M,+$1.8M
300,Rocco Zikarsky,Minnesota Timberwolves,C,-1,-1,+0,-1,-2,2.1,96.6,17.2,2.2,53.1%,24.2%,58.4%,$0.9M,$1.4M,-$0.5M
301,Khris Middleton,Dallas Mavericks,F-G,-1,-0,-1,-2,-1,22.4,99.1,25.5,5.6,44.8%,38.8%,86.1%,$5.2M,$33.0M,-$27.8M
302,Gary Harris,Milwaukee Bucks,G,-1,-2,+1,-1,-1,3.4,98.5,7.7,3.4,38.7%,35.8%,74.1%,$2.7M,$3.6M,-$0.9M
303,Nikola Vucevic,Boston Celtics,C,-1,-1,-0,+2,-2,16.0,99.8,26.5,5.3,49.9%,35.9%,80.0%,$5.3M,$21.3M,-$16.0M
304,Alijah Martin,Toronto Raptors,G,-1,-1,-0,-1,-2,0.0,94.2,21.0,5.3,40.4%,33.7%,75.5%,$0.8M,$1.4M,-$0.6M
305,Keshad Johnson,Miami Heat,F,-1,-1,+0,-1,-1,5.6,101.9,19.3,1.7,46.9%,31.7%,67.6%,$2.9M,$1.9M,+$1.0M
306,David Jones,San Antonio Spurs,F,-1,-1,-0,-1,-1,0.0,95.2,18.1,6.6,45.1%,28.6%,68.1%,$2.8M,$1.4M,+$1.5M
307,Myron Gardner,Miami Heat,F,-1,-1,+0,-1,-1,1.0,101.8,16.0,4.0,47.2%,35.3%,74.8%,$6.4M,$1.4M,+$5.0M
308,Keshon Gilbert,Atlanta Hawks,G,-1,-2,+1,-1,-3,0.7,95.0,15.7,5.1,41.3%,31.0%,74.2%,$3.4M,$1.4M,+$2.1M
309,VJ Edgecombe,Philadelphia 76ers,G,-1,-1,-0,-1,-1,29.5,96.6,24.4,5.1,46.7%,35.8%,82.0%,$10.3M,$11.0M,-$0.7M
310,Jamir Watkins,Washington Wizards,F,-1,-1,-0,-1,-2,13.8,94.4,16.8,3.0,41.5%,33.7%,70.5%,$4.2M,$1.4M,+$2.9M
311,Pacôme Dadiet,New York Knicks,F,-1,-1,-1,-1,-2,1.6,103.3,21.0,3.7,43.3%,32.9%,75.4%,$0.8M,$2.8M,-$2.0M
312,Ayo Dosunmu,Minnesota Timberwolves,G,-1,-0,-1,+0,-2,23.7,99.1,21.7,5.7,51.6%,38.6%,83.5%,$7.0M,$7.4M,-$0.5M
313,Naji Marshall,Dallas Mavericks,F,-1,-0,-1,-1,-2,21.5,101.7,23.7,5.0,50.5%,31.4%,77.0%,$7.4M,$8.9M,-$1.5M
314,Noah Penda,Orlando Magic,G-F,-1,-2,+0,-1,-2,9.2,102.9,14.6,3.8,43.0%,32.3%,71.8%,$3.5M,$1.4M,+$2.1M
315,Isaiah Stewart,Detroit Pistons,F-C,-1,-2,+1,-0,-2,21.1,97.7,20.4,3.0,53.9%,35.0%,77.1%,$5.2M,$14.9M,-$9.7M
316,Anthony Gill,Washington Wizards,F,-1,-2,+1,-2,-1,17.2,94.7,13.4,3.5,49.8%,27.9%,71.1%,$6.4M,$2.3M,+$4.2M
317,Keyonte George,Utah Jazz,G,-1,+1,-2,-0,-2,38.3,102.9,34.9,8.4,43.3%,35.4%,87.9%,$6.1M,$4.2M,+$1.8M
318,Koby Brea,Phoenix Suns,G,-1,-1,-1,-1,-2,3.7,95.1,22.2,4.8,41.5%,30.4%,72.9%,$2.7M,$1.4M,+$1.3M
319,JD Davison,Houston Rockets,G,-1,-2,+0,-1,-3,15.1,98.9,19.4,8.0,40.8%,25.1%,68.9%,$3.2M,$2.2M,+$1.0M
320,Tyler Kolek,New York Knicks,G,-1,-1,-0,-1,-1,1.9,101.3,19.8,11.0,43.5%,32.9%,75.2%,$1.5M,$2.2M,-$0.7M
321,Jordan McLaughlin,San Antonio Spurs,G,-1,-1,-0,-1,-2,2.1,94.7,15.2,6.6,41.1%,35.1%,73.3%,$2.0M,$2.3M,-$0.3M
322,Thomas Sorber,Oklahoma City Thunder,C,-1,-1,-0,-1,-2,0.4,100.1,20.8,3.1,48.0%,28.1%,68.1%,$1.9M,$4.6M,-$2.7M
323,Jaylen Wells,Memphis Grizzlies,F,-1,-0,-1,-1,-1,24.8,98.0,23.3,2.4,41.0%,35.2%,81.3%,$6.1M,$1.9M,+$4.1M
324,Al Horford,Golden State Warriors,C-F,-1,-2,+0,+1,-2,23.3,99.3,20.2,5.9,44.0%,37.7%,81.7%,$7.3M,$5.6M,+$1.7M
325,Anfernee Simons,Chicago Bulls,G,-1,+1,-2,-1,-2,29.9,98.8,30.2,5.7,42.1%,36.5%,88.3%,$6.5M,$27.4M,-$20.9M
326,D'Angelo Russell,Washington Wizards,G,-1,-1,-1,-2,-1,4.7,92.9,23.7,8.9,38.7%,33.7%,75.9%,$3.9M,$5.6M,-$1.7M
327,Javon Small,Memphis Grizzlies,G,-1,-1,-1,-1,-2,24.4,100.0,20.1,8.4,41.2%,34.0%,82.5%,$4.8M,$1.4M,+$3.5M
328,Alexandre Sarr,Washington Wizards,C,-1,-0,-1,+0,-4,27.2,97.5,28.3,4.2,43.5%,32.4%,72.5%,$2.3M,$11.7M,-$9.4M
329,Noah Clowney,Brooklyn Nets,F,-1,-1,-1,-1,-2,22.6,95.1,23.0,3.6,43.4%,37.5%,82.3%,$6.8M,$3.4M,+$3.4M
330,Mark Williams,Phoenix Suns,C,-1,-1,-1,-1,-2,25.9,96.3,23.9,2.6,63.1%,22.7%,76.2%,$5.2M,$6.2M,-$1.0M
331,Jalen Slawson,Indiana Pacers,F,-1,-1,+0,-1,-1,12.2,97.1,15.2,5.5,41.6%,31.6%,74.4%,$-0.1M,$2.0M,-$2.1M
332,Julian Strawther,Denver Nuggets,G,-1,-0,-1,-1,-2,11.9,97.8,22.7,3.6,44.9%,35.3%,80.1%,$2.3M,$2.6M,-$0.4M
333,Isaiah Crawford,Houston Rockets,F,-1,-2,+0,-1,-1,21.2,98.6,17.7,2.9,44.4%,30.7%,73.4%,$1.2M,$1.4M,-$0.1M
334,Caleb Houstan,Atlanta Hawks,G,-1,-1,-0,-1,-2,0.8,96.8,17.4,3.1,41.3%,37.0%,80.5%,$2.3M,$2.3M,-$0.0M
335,Taylor Hendricks,Memphis Grizzlies,F,-1,-1,-1,-1,-2,19.5,98.7,19.7,2.7,43.3%,35.3%,72.1%,$2.1M,$6.1M,-$3.9M
336,Jamal Cain,Orlando Magic,F,-1,-1,-0,-1,-1,6.8,101.5,19.7,2.8,41.4%,32.3%,73.7%,$2.0M,$1.4M,+$0.6M
337,Nicolas Batum,Los Angeles Clippers,F-G,-1,-2,+1,-2,-1,20.6,99.8,11.6,3.5,42.2%,39.0%,74.4%,$3.1M,$5.5M,-$2.4M
338,Cam Thomas,Milwaukee Bucks,G,-1,+1,-2,-1,-2,12.7,98.1,30.0,6.2,44.5%,35.4%,83.8%,$4.8M,$5.9M,-$1.2M
339,Killian Hayes,Sacramento Kings,G,-1,-1,+0,-1,-1,17.6,97.2,15.3,9.2,39.3%,31.8%,77.8%,$3.4M,$1.4M,+$2.0M
340,Taurean Prince,Milwaukee Bucks,F,-1,-1,+0,-2,-1,12.7,100.3,14.0,2.7,43.2%,39.1%,78.9%,$3.1M,$3.3M,-$0.2M
341,Isaiah Livers,Phoenix Suns,F,-1,-2,+1,-2,-0,4.1,96.0,13.3,3.4,40.3%,33.6%,70.2%,$2.5M,$1.4M,+$1.1M
342,Kyshawn George,Washington Wizards,F,-1,-1,-0,-0,-2,21.6,95.6,25.3,6.5,39.4%,33.9%,77.8%,$5.5M,$2.9M,+$2.6M
343,Branden Carlson,Oklahoma City Thunder,C,-1,-1,-0,-1,-2,0.9,99.4,21.4,2.5,48.0%,32.4%,64.0%,$2.4M,$1.4M,+$1.1M
344,Brice Sensabaugh,Utah Jazz,F,-1,+1,-2,-1,-2,32.1,102.1,30.0,4.1,43.5%,36.9%,85.7%,$1.8M,$2.7M,-$0.8M
345,Kyle Anderson,Minnesota Timberwolves,F-G,-1,-2,+1,-1,-2,14.1,99.5,14.7,5.9,52.9%,29.7%,69.7%,$3.6M,$9.1M,-$5.6M
346,Jeenathan Williams,Golden State Warriors,G,-1,-0,-1,-1,-2,8.9,97.7,20.9,3.2,46.5%,33.6%,77.1%,$3.0M,$2.3M,+$0.7M
347,Jahmai Mashack,Memphis Grizzlies,G,-1,-2,+1,-1,-3,21.7,98.2,13.6,3.2,40.9%,31.1%,72.7%,$3.6M,$1.4M,+$2.2M
348,Corey Kispert,Atlanta Hawks,F,-1,-0,-1,-1,-2,19.5,97.8,22.7,4.2,45.6%,38.0%,81.9%,$3.9M,$13.8M,-$9.9M
349,Liam McNeeley,Charlotte Hornets,F,-1,-1,-1,-2,-0,4.6,99.6,16.8,3.2,39.2%,33.1%,73.6%,$2.5M,$2.7M,-$0.2M
350,Nae'Qwan Tomlin,Cleveland Cavaliers,F,-1,-2,+0,-2,-1,9.4,102.4,18.6,3.1,49.8%,31.0%,74.6%,$1.9M,$1.4M,+$0.5M
351,Bryce McGowens,New Orleans Pelicans,G,-1,-1,-0,-1,-1,33.7,97.9,18.5,3.7,46.6%,36.4%,77.8%,$4.4M,$1.4M,+$3.0M
352,Tyler Smith,Dallas Mavericks,F,-1,-2,+0,-1,-2,2.0,99.9,20.7,3.1,46.6%,32.2%,70.0%,$1.7M,$1.9M,-$0.3M
353,P.J. Washington,Dallas Mavericks,F,-1,-2,+0,-2,-1,28.1,100.4,20.2,3.1,45.2%,35.4%,69.7%,$4.8M,$14.0M,-$9.2M
354,Elijah Harkless,Utah Jazz,G,-1,-2,+0,-2,+0,18.8,99.9,17.2,6.4,40.7%,33.8%,78.9%,$3.5M,$1.4M,+$2.2M
355,Klay Thompson,Dallas Mavericks,G-F,-2,-1,-1,-1,-2,22.2,100.7,25.8,3.2,39.9%,39.8%,85.7%,$4.0M,$16.5M,-$12.5M
356,Justin Edwards,Philadelphia 76ers,F,-2,-1,-1,-0,-3,12.6,97.8,18.3,4.5,47.7%,36.3%,78.8%,$0.5M,$2.0M,-$1.5M
357,Harrison Ingram,San Antonio Spurs,F,-2,-1,-0,-2,-1,0.0,94.7,18.6,4.1,49.0%,24.5%,73.5%,$1.5M,$1.4M,+$0.2M
358,Drew Eubanks,Sacramento Kings,F,-2,-2,+0,-1,-2,4.5,97.0,19.2,2.6,56.9%,22.2%,62.2%,$1.7M,$2.3M,-$0.6M
359,Jalen Wilson,Brooklyn Nets,F,-2,-1,-0,-2,-1,7.4,95.9,19.7,3.5,41.6%,35.6%,79.0%,$3.0M,$2.2M,+$0.8M
360,Isaac Okoro,Chicago Bulls,F-G,-2,-1,-1,-2,-1,28.9,98.7,15.2,3.0,45.6%,35.6%,78.2%,$4.6M,$10.9M,-$6.3M
361,Aaron Holiday,Houston Rockets,G,-2,-1,-1,-2,-1,6.2,98.8,20.0,3.9,41.5%,34.5%,82.8%,$2.2M,$2.3M,-$0.1M
362,E.J. Liddell,Brooklyn Nets,F,-2,-2,+0,-2,-1,1.9,98.6,16.5,3.7,48.2%,30.8%,76.6%,$2.6M,$1.4M,+$1.3M
363,RayJ Dennis,Atlanta Hawks,G,-2,-2,+0,-2,-2,3.5,96.1,19.7,8.5,39.2%,32.6%,78.1%,$1.1M,$1.4M,-$0.3M
364,Andre Drummond,Philadelphia 76ers,C,-2,-2,+1,+2,-2,4.1,94.3,18.0,3.3,53.5%,30.7%,61.2%,$2.4M,$5.0M,-$2.6M
365,Micah Peavy,New Orleans Pelicans,G-F,-2,-1,-0,-2,-1,4.6,95.2,16.7,3.4,41.9%,32.4%,72.4%,$1.5M,$1.4M,+$0.1M
366,Lachlan Olbrich,Chicago Bulls,C,-2,-2,+1,-2,-2,1.6,98.1,15.4,4.1,48.2%,28.0%,62.1%,$0.6M,$1.4M,-$0.8M
367,TyTy Washington Jr.,Los Angeles Clippers,G,-2,-1,-0,-2,-1,5.9,100.1,18.9,8.6,43.0%,32.1%,69.4%,$1.9M,$1.4M,+$0.6M
368,Trayce Jackson-Davis,Toronto Raptors,F,-2,-1,-0,-2,-2,2.5,96.3,18.8,4.0,61.4%,15.6%,50.8%,$1.4M,$2.2M,-$0.8M
369,Seth Curry,Golden State Warriors,G,-2,-1,-1,-1,-2,19.7,99.2,22.3,4.4,45.2%,40.4%,84.5%,$1.1M,$2.3M,-$1.2M
370,Amir Coffey,Phoenix Suns,G,-2,-1,-1,-1,-2,6.2,95.9,16.9,2.9,46.1%,36.0%,82.8%,$0.4M,$2.3M,-$1.9M
371,GG Jackson,Memphis Grizzlies,F,-2,-1,-1,-2,-2,28.8,99.2,27.0,3.4,44.2%,33.5%,75.1%,$2.9M,$2.2M,+$0.7M
372,Gradey Dick,Toronto Raptors,G,-2,-2,-0,-2,-1,6.9,94.9,21.6,2.4,42.9%,35.9%,84.7%,$0.9M,$4.9M,-$4.0M
373,Adou Thiero,Los Angeles Lakers,G,-2,-2,+0,-2,-2,2.5,99.6,17.9,3.6,51.0%,23.7%,72.1%,$0.1M,$1.4M,-$1.3M
374,Nick Richards,Chicago Bulls,C,-2,-2,+0,-1,-2,21.7,98.9,18.7,1.9,58.4%,24.8%,73.3%,$3.0M,$5.0M,-$2.0M
375,Tyrese Proctor,Cleveland Cavaliers,G,-2,-1,-1,-2,-3,18.2,100.9,23.6,6.5,42.6%,31.7%,77.9%,$1.3M,$1.4M,-$0.1M
376,Bradley Beal,Los Angeles Clippers,G,-2,-0,-1,-1,-2,20.4,101.2,25.1,6.3,47.4%,37.3%,79.9%,$1.9M,$58.4M,-$56.5M
377,Trey Alexander,New Orleans Pelicans,G,-2,-1,-0,-2,-3,12.9,94.6,19.6,5.5,44.6%,28.5%,74.1%,$1.2M,$1.4M,-$0.1M
378,Andre Jackson Jr.,Milwaukee Bucks,G,-2,-2,+0,-2,-1,1.5,100.3,15.6,4.8,41.6%,32.7%,70.5%,$1.3M,$2.2M,-$0.9M
379,Noa Essengue,Chicago Bulls,F,-2,-1,-0,-2,-3,15.0,97.0,21.3,3.2,46.4%,27.1%,70.1%,$1.1M,$5.4M,-$4.3M
380,Isaac Jones,Detroit Pistons,F,-2,-1,-1,-2,-3,4.4,98.9,20.4,3.2,49.4%,28.4%,66.2%,$1.1M,$1.9M,-$0.9M
381,Pat Connaughton,Charlotte Hornets,G,-2,-2,-0,-1,-2,0.0,98.0,16.1,3.9,38.6%,34.8%,73.6%,$1.1M,$9.3M,-$8.2M
382,Bronny James,Los Angeles Lakers,G,-2,-1,-0,-2,-2,3.3,98.8,18.7,8.7,40.9%,33.6%,75.9%,$0.4M,$1.9M,-$1.6M
383,Nique Clifford,Sacramento Kings,G,-2,-2,+0,-2,-0,30.8,96.3,18.4,4.9,42.6%,32.6%,76.4%,$2.0M,$3.1M,-$1.0M
384,Larry Nance Jr.,Cleveland Cavaliers,F,-2,-3,+1,-1,-2,6.7,101.4,14.2,3.9,45.9%,32.7%,66.9%,$0.7M,$2.3M,-$1.6M
385,Drew Timme,Los Angeles Lakers,F,-2,-2,-0,-2,-2,1.1,98.8,19.4,3.8,47.6%,31.5%,66.0%,$0.7M,$1.9M,-$1.3M
386,Tidjane Salaün,Charlotte Hornets,F,-2,-1,-0,-1,-2,6.8,98.3,17.3,2.6,41.0%,33.1%,67.2%,$1.8M,$7.8M,-$6.0M
387,Jonathan Mogbo,Toronto Raptors,F,-2,-3,+1,-2,-2,5.2,94.2,13.1,4.9,51.9%,28.8%,67.1%,$0.4M,$1.9M,-$1.5M
388,Jaden Ivey,Chicago Bulls,G,-2,-1,-1,-1,-2,25.9,99.8,23.8,6.1,41.8%,33.3%,74.7%,$2.0M,$10.0M,-$8.0M
389,Mo Bamba,Utah Jazz,C,-2,-3,+1,-1,-2,7.7,98.2,16.0,2.4,51.7%,33.1%,70.7%,$0.8M,$2.3M,-$1.5M
390,Dennis Schroder,Cleveland Cavaliers,G,-2,-1,-1,-2,-2,22.0,99.1,22.1,9.0,43.8%,34.7%,83.1%,$1.6M,$14.0M,-$12.3M
391,Khaman Maluach,Phoenix Suns,C,-2,-3,+1,-2,-2,12.9,93.8,17.6,1.6,58.6%,24.9%,69.2%,$2.0M,$6.0M,-$4.0M
392,Bennedict Mathurin,Los Angeles Clippers,G-F,-2,-0,-1,-2,-1,33.7,102.1,31.3,4.3,46.8%,35.1%,86.2%,$1.0M,$9.1M,-$8.1M
393,PJ Hall,Charlotte Hornets,C,-2,-2,+0,-2,-3,3.3,99.0,17.5,2.7,53.6%,28.9%,74.7%,$1.4M,$1.4M,+$0.1M
394,Tristen Newton,Houston Rockets,G,-2,-2,-0,-2,-2,3.1,101.0,18.8,4.0,43.5%,25.4%,74.0%,$0.8M,$1.4M,-$0.6M
395,Sion James,Charlotte Hornets,G,-2,-2,+0,-2,-1,18.0,98.2,11.5,4.4,38.8%,34.9%,81.2%,$2.1M,$1.4M,+$0.8M
396,Caleb Martin,Dallas Mavericks,F,-2,-3,+1,-1,-2,10.3,101.1,13.6,3.9,45.2%,36.8%,62.1%,$1.1M,$9.5M,-$8.4M
